Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M2,mixer_torque_M1,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
58,13.2,10.2,10.5067,6.003828571,11.3658,6.494742857,100.1667,99.5012,09:25.5
59,12.7,10,15.2645,8.722571429,12.8195,7.325428571,99.7387,98.6592,09:26.3
60,13.4,10,14.6698,8.382742857,12.5552,7.1744,99.6479,99.5317,09:27.1
61,13.4,10.7,12.423,7.098857143,8.4582,4.833257143,100.005,99.6551,09:27.8
62,13.2,9.8,15.5949,8.911371429,10.6389,6.079371429,98.1152,101.5204,09:28.6
63,12.7,10.2,13.8768,7.9296,12.357,7.061142857,100.1651,99.6015,09:29.4
64,13.2,10.4,12.8856,7.3632,12.6213,7.212171429,99.2253,99.6273,09:30.1
65,13.2,10.4,12.1587,6.947828571,8.7886,5.022057143,100.6383,99.6172,09:30.9
66,13.4,9.3,15.0002,8.571542857,11.8944,6.7968,99.4887,99.4043,09:31.7
67,12.9,9.8,14.075,8.042857143,12.8195,7.325428571,99.6621,100.4051,09:32.4
68,13.2,10,14.8019,8.458228571,11.8944,6.7968,98.98,99.7427,09:33.3
69,13.4,10.4,15.4627,8.835828571,13.6786,7.816342857,119.5304,118.7182,09:34.0
70,13.2,10,12.2909,7.023371429,10.5067,6.003828571,120.8931,120.5111,09:34.8
71,13.6,10.2,14.6037,8.344971429,16.4539,9.402228571,120.094,120.9188,09:35.6
72,13.6,10,12.0926,6.910057143,13.4803,7.703028571,120.7675,120.3509,09:36.3
73,13.2,10.4,16.3218,9.326742857,15.1984,8.6848,120.4448,120.5309,09:37.1
74,13.6,10.4,15.1984,8.6848,18.6346,10.64834286,120.1991,120.2571,09:37.9
75,13.8,10.7,15.7931,9.024628571,14.4715,8.269428571,119.6412,119.6836,09:38.6
76,13.6,10.2,16.6522,9.515542857,14.4054,8.231657143,120.0097,120.1682,09:39.4
77,13.4,9.8,15.1984,8.6848,14.1411,8.080628571,119.6642,120.1657,09:40.2
78,13.4,11.1,15.3966,8.798057143,15.1323,8.647028571,118.0813,121.0512,09:40.9
79,13.6,11.3,14.4715,8.269428571,15.9914,9.137942857,119.8787,120.4589,09:41.7
80,13.8,10.4,17.1147,9.779828571,14.009,8.005142857,119.4577,120.8478,09:42.5
81,13.6,10.4,12.2248,6.9856,11.9605,6.834571429,120.5393,120.2057,09:43.2
82,13.2,10.9,10.8371,6.192628571,14.2072,8.1184,98.8007,99.5294,09:44.0
83,13.6,10.9,14.4715,8.269428571,12.423,7.098857143,99.7874,98.8874,09:44.7
84,13.6,10.9,14.4715,8.269428571,11.0354,6.305942857,99.0833,98.895,09:45.5
85,13.8,11.8,12.9517,7.400971429,7.7314,4.417942857,99.2761,99.8487,09:46.3
86,13.4,10,13.0178,7.438742857,11.6301,6.645771429,98.61,100.2507,09:47.1
87,13.6,10.9,13.6786,7.816342857,12.0926,6.910057143,99.1873,100.4249,09:47.8
88,13.6,10.4,13.216,7.552,11.2997,6.456971429,99.3783,99.5793,09:48.6
89,13.6,11.1,9.9781,5.701771429,9.8459,5.626228571,100.8394,99.6353,09:49.4
90,14.3,11.1,14.8019,8.458228571,11.3658,6.494742857,100.596,98.8157,09:50.1
91,13.6,11.3,14.5376,8.3072,11.2336,6.4192,99.5303,99.7636,09:50.9
92,14.1,11.3,13.8107,7.891828571,8.5904,4.9088,99.557,99.3335,09:51.7
93,13.8,10.9,11.7622,6.721257143,11.7622,6.721257143,98.4961,100.11,09:52.4
94,14.1,11.6,10.2424,5.8528,10.771,6.154857143,99.2831,99.2105,09:53.2
95,14.1,11.1,12.2909,7.023371429,10.1102,5.777257143,80.2566,81.1421,09:54.0
96,14.1,11.3,11.6301,6.645771429,10.1763,5.815028571,80.1902,80.7883,09:54.7
97,13.8,10.9,11.2997,6.456971429,8.7226,4.984342857,80.6818,80.259,09:55.5
98,14.1,10.9,10.771,6.154857143,8.6565,4.946571429,80.8319,80.4763,09:56.2
99,14.1,11.1,11.1014,6.343657143,9.8459,5.626228571,80.3585,80.511,09:57.0
100,14.5,10.9,9.912,5.664,9.3173,5.324171429,80.5251,80.9148,09:57.8
101,14.3,11.1,10.3746,5.928342857,10.3085,5.890571429,80.4778,80.7172,09:58.6
102,14.3,11.3,10.6389,6.079371429,9.7798,5.588457143,80.4109,80.7255,09:59.3
103,14.1,11.8,11.1675,6.381428571,10.1102,5.777257143,80.5058,80.681,10:00.1
104,14.1,11.1,10.2424,5.8528,11.6301,6.645771429,79.8825,80.4753,10:00.8
105,14.1,11.3,11.0354,6.305942857,10.6389,6.079371429,80.3745,80.2482,10:01.6
106,14.5,11.3,11.1014,6.343657143,9.4494,5.399657143,80.1306,80.5575,10:02.3
107,14.1,10.9,11.2336,6.4192,10.8371,6.192628571,80.4416,80.3952,10:03.1
108,14.1,11.3,8.26,4.72,8.1278,4.644457143,60.185,60.3779,10:03.9
109,14.1,10.7,10.2424,5.8528,8.0618,4.606742857,61.2973,60.1473,10:04.7
110,13.8,10.4,6.9384,3.9648,7.9296,4.5312,59.8331,60.1666,10:05.4
111,14.1,10.9,8.1939,4.682228571,6.8723,3.927028571,59.6888,60.1177,10:06.2
112,13.8,10.9,9.6477,5.512971429,8.7886,5.022057143,59.8917,59.8091,10:07.0
113,14.1,11.3,8.8547,5.059828571,7.5331,4.304628571,59.4353,59.8487,10:07.7
114,14.1,10.9,6.3437,3.624971429,7.2027,4.115828571,59.7872,59.6836,10:08.5
115,14.1,11.3,7.6653,4.380171429,5.5507,3.171828571,60.0472,59.7714,10:09.3
116,14.1,10.9,9.2512,5.2864,6.608,3.776,60.1381,60.0084,10:10.0
117,14.3,11.3,10.5728,6.0416,7.5992,4.3424,60.1333,59.6557,10:10.8
118,13.8,11.3,8.4582,4.833257143,8.1278,4.644457143,59.964,60.1213,10:11.6
119,13.8,10.4,8.9869,5.135371429,6.0794,3.473942857,60.0848,60.6086,10:12.4
120,14.1,10.9,9.5155,5.437428571,8.1939,4.682228571,59.7157,59.9858,10:13.1
121,14.1,10.9,7.0706,4.040342857,5.9472,3.3984,39.8579,39.6001,10:13.9
122,14.1,11.1,6.1454,3.511657143,5.6168,3.2096,40.6017,39.2955,10:14.6
123,14.1,11.3,8.1939,4.682228571,5.5507,3.171828571,39.2743,39.4437,10:15.4
124,13.6,10.9,7.9957,4.568971429,6.2776,3.5872,39.4245,39.2488,10:16.2
125,14.3,11.8,6.4098,3.662742857,5.5507,3.171828571,40.1562,39.4057,10:16.9
126,14.5,10.7,6.7402,3.851542857,5.3525,3.058571429,39.458,39.7512,10:17.7
127,13.8,11.3,7.1366,4.078057143,8.3261,4.757771429,39.1699,39.7284,10:18.5
128,14.1,11.3,7.1366,4.078057143,4.6256,2.6432,39.6634,39.7856,10:19.2
129,14.1,10.9,8.6565,4.946571429,5.6829,3.247371429,39.7062,39.664,10:20.0
130,14.1,10.9,6.5419,3.738228571,5.0221,2.869771429,39.8998,39.5768,10:20.7
131,14.1,10.9,7.6653,4.380171429,6.7402,3.851542857,39.6853,39.2307,10:21.5
132,14.1,10.4,6.4758,3.700457143,5.815,3.322857143,39.4112,39.7525,10:22.3
133,14.3,11.3,6.6741,3.813771429,5.4186,3.096342857,39.4518,39.5623,10:23.0
134,14.3,10.4,4.7578,2.718742857,3.5683,2.039028571,20.0958,20.403,10:23.8
135,14.3,11.1,4.956,2.832,3.2379,1.850228571,20.3217,20.3512,10:24.6
136,13.6,11.6,3.4362,1.963542857,4.2952,2.4544,20.6677,20.433,10:25.3
137,13.8,11.6,5.6168,3.2096,4.0309,2.303371429,20.4502,20.4464,10:26.1
138,14.1,10.9,4.6917,2.680971429,4.4934,2.567657143,20.4205,20.3233,10:26.9
139,13.8,10.9,5.2203,2.983028571,3.8326,2.190057143,20.6123,20.4477,10:27.7
140,14.3,11.1,4.6917,2.680971429,4.6917,2.680971429,20.4411,20.3934,10:28.4
141,13.6,10.9,5.0882,2.907542857,3.8987,2.227828571,20.3596,20.2565,10:29.2
142,14.1,11.1,4.5595,2.605428571,4.2952,2.4544,20.3575,20.2804,10:30.0
143,14.1,10.2,4.4934,2.567657143,4.163,2.378857143,20.4046,20.331,10:30.8
144,14.1,10.9,4.8899,2.794228571,5.0221,2.869771429,20.5386,20.1496,10:31.5
145,14.1,10.9,5.2864,3.0208,4.7578,2.718742857,20.3699,20.6095,10:32.3
146,14.1,10.4,5.1542,2.945257143,3.7666,2.152342857,19.8248,20.4365,10:33.1
