# Site: US-CRT
# Version: 3-5
TIMESTAMP_START,TIMESTAMP_END,CO2,H2O,FC,NEE_PI,CH4,FCH4,H,LE,G_1_1_1,G_2_1_1,WD,WS,USTAR,ZL,MO_LENGTH,W_SIGMA,V_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,TS_1_1_1,TS_2_1_1,WTD,SWC,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,P,SC,SH,SLE,G,TS_PI_1,TS_PI_2,CO2_PI_1,CO2_PI_2,SWC_PI_1,SWC_PI_2,SW_DIF,PPFD_OUT,APAR,PPFD_DIF,FAPAR,VPD_PI
201101010700,201101010730,-9999.0,5.63097450001481,-9999.0,-9999.0,-9999.0,-9999.0,-20.2336,-16.1336076483238,26.10878,38.0466,229.402,5.09317,0.29121,0.01843,107.976125881715,0.39642,0.79133,11.857,0.24405,98.8842,95.4784459,11.50461,5.217932,4.367156,-0.7501645,46.57526,-1.35977,0.0,0.0,0.0,367.1029,367.1545,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101010730,201101010800,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-18.8195,-9999.0,24.8659,35.98606,227.526,5.20317,0.26214,0.02351,84.6448319863888,0.38894,0.77124,10.9984,0.13137,98.8572,94.9510665,11.44784,5.316795,4.453674,-0.7370542,46.50413,-1.479672,0.0,0.0,0.0,366.6361,366.908,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101010800,201101010830,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-35.8332,-9999.0,26.25215,36.58094,227.84,5.46224,0.32072,0.02443,81.4572247237004,0.42221,0.87137,11.523,0.33309,98.8701,94.74553,11.49132,5.380353,4.534218,-0.7304033,46.45086,-0.3700923,0.0,0.0,0.0,366.9184,367.1349,0.508,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101010830,201101010900,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-18.0789,-9999.0,25.24833,36.30676,233.182,5.02643,0.28769,0.0161,123.60248447205,0.3748,0.72816,10.9692,0.1506,98.8768,95.0732065,11.4671,5.469162,4.629981,-0.7255459,46.68012,0.09274479,53.0626862335284,3.08797,1.081088,365.3103,367.2244,1.27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101010900,201101010930,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-13.1827,-9999.0,24.96129,35.02471,230.461,4.16999,0.23572,0.02135,93.2084309133489,0.32074,0.7068,10.8177,0.11763,98.8645,96.4038804,11.27757,5.571169,4.735718,-0.7129922,47.00615,7.714345,67.0149980380179,9.084113,1.365073,366.9441,366.9488,0.762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101010930,201101011000,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-10.9176,-9999.0,29.59881,37.58778,237.455,4.16196,0.24865,0.01506,132.138114209827,0.32626,0.64365,10.9258,0.11281,98.8818,96.7531668,11.3299,5.656867,4.877035,-0.6932366,46.95356,28.66461,121.164363652305,32.56415,3.736888,367.6887,367.8513,0.254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101011000,201101011030,-9999.0,5.46069161521052,-9999.0,-9999.0,-9999.0,-9999.0,-8.18664,-9999.0,30.03043,38.87025,252.625,3.38483,0.25069,0.01169,170.230966638152,0.37424,0.79193,11.9961,0.15199,98.9099,96.4854784,11.51414,5.729406,4.970193,-0.679766,46.85031,26.05054,111.895829011383,28.03979,3.183111,370.0406,368.8468,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101011030,201101011100,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-70.8114,11.6383047015,23.43299,33.74434,280.713,4.78554,0.33486,0.04242,46.9118340405469,0.39005,1.25589,11.2223,0.72525,98.8891,92.0637857,11.13264,5.794517,5.019649,-0.672475,46.72039,29.62906,126.168322151079,33.23936,3.551361,366.9994,367.0584,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101011100,201101011130,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-4.15906,5.267722,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,72.511412,8.967142,5.848211,4.996712,-0.6721839,46.51958,52.80324,179.305846779852,60.23123,5.595088,353.6118,355.4448,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201101011130,201101011200,388.534145438482,-9999.0,-0.0101473369989566,-0.0101473369989566,-9999.0,-9999.0,-13.586,37.499159422,-4.351424,-2.243177,292.317,6.18451,0.32514,0.00888,224.099099099099,0.39251,0.75336,7.07713,0.25484,98.9525,67.5826491,7.595589,5.856923,5.0945,-0.6745542,46.369,82.38771,246.248830518795,93.36105,8.218489,347.4487,350.2036,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
