                   d	                   z	                   d	                   z	                   d	                   z
               [ m ]	               [ m ]	               [ m ]	               [ m ]	               [ m ]	               [ m ]
      0.000000000000	      0.000002500822	      0.000000000000	      0.000002246806	      0.000000000000	     -0.000000662437
      0.000000635670	      0.000002346041	      0.000000635905	      0.000002343747	      0.000000636071	     -0.000000661526
                    	                    	      0.000001271810	      0.000001727085	      0.000001272142	     -0.000000660487
      0.000001907009	      0.000001918611	      0.000001907714	      0.000001748599	      0.000001908213	     -0.000000659743
      0.000002542679	      0.000002448130	      0.000002543619	      0.000001465239	      0.000002544284	     -0.000000876205
      0.000003178348	      0.000002409635	      0.000003179524	      0.000002053598	      0.000003180355	     -0.000000926059
      0.000003814018	      0.000001940732	      0.000003815429	      0.000001626371	      0.000003816426	     -0.000000709276
      0.000004449688	      0.000001797264	      0.000004451334	      0.000001650267	      0.000004452497	     -0.000000659394
      0.000005085357	      0.000001644354	      0.000005087238	      0.000002144137	      0.000005088568	     -0.000000659210
      0.000005721027	      0.000001947451	      0.000005723143	      0.000001946865	      0.000005724639	     -0.000000659613
      0.000006356697	      0.000002004031	                    	                    	      0.000006360710	     -0.000000660106
      0.000006992366	      0.000001716878	                    	                    	      0.000006996781	     -0.000000660327
      0.000007628036	      0.000001593780	      0.000007630858	      0.000001455200	      0.000007632852	     -0.000000661174
      0.000008263706	      0.000001569947	      0.000008266762	      0.000001819454	      0.000008268923	     -0.000000661581
      0.000008899375	      0.000001819429	      0.000008902667	      0.000001687073	      0.000008904994	     -0.000000659915
      0.000009535045	      0.000001986464	      0.000009538572	      0.000001705890	      0.000009541065	     -0.000000660037
      0.000010170715	      0.000001898492	      0.000010174477	      0.000001898518	      0.000010177137	     -0.000000658394
      0.000010806384	      0.000001832911	      0.000010810382	      0.000002341275	      0.000010813208	     -0.000000657858
      0.000011442054	      0.000001826580	      0.000011446286	      0.000002144620	      0.000011449279	     -0.000000656348
      0.000012077724	      0.000001550700	      0.000012082191	      0.000001899574	      0.000012085350	     -0.000000655317
      0.000012713393	      0.000001605532	      0.000012718096	      0.000001749828	      0.000012721421	     -0.000000655510
      0.000013349063	      0.000001884658	      0.000013354001	      0.000002220166	      0.000013357492	     -0.000000655780
      0.000013984733	      0.000001883459	      0.000013989906	      0.000002473553	      0.000013993563	     -0.000000655404
      0.000014620402	      0.000001563396	                    	                    	      0.000014629634	     -0.000000653530
      0.000015256072	      0.000001546758	      0.000015261715	      0.000001980682	      0.000015265705	     -0.000000653882
      0.000015891741	      0.000001726281	      0.000015897620	      0.000002210901	      0.000015901776	     -0.000000654008
      0.000016527411	      0.000001788254	      0.000016533525	      0.000002798644	      0.000016537847	     -0.000000653731
      0.000017163081	      0.000001961928	      0.000017169429	      0.000002117811	      0.000017173918	     -0.000000654297
      0.000017798750	      0.000002089467	      0.000017805334	      0.000002165448	      0.000017809989	     -0.000000654515
      0.000018434420	      0.000002180774	      0.000018441239	      0.000002210496	      0.000018446060	     -0.000000655098
      0.000019070090	      0.000001955223	      0.000019077144	      0.000002231032	      0.000019082131	     -0.000000655012
      0.000019705759	      0.000001532362	      0.000019713049	      0.000001749312	      0.000019718202	     -0.000000655219
      0.000020341429	      0.000001279561	      0.000020348953	      0.000001547398	      0.000020354273	     -0.000000654434
      0.000020977099	      0.000001247220	      0.000020984858	      0.000002093591	      0.000020990344	     -0.000000653784
      0.000021612768	      0.000001795803	      0.000021620763	      0.000001986748	      0.000021626415	     -0.000000652720
      0.000022248438	      0.000001965306	                    	                    	      0.000022262486	     -0.000000870814
      0.000022884108	      0.000001479006	      0.000022892573	      0.000001897215	      0.000022898557	     -0.000000918286
      0.000023519777	      0.000001649763	      0.000023528477	      0.000002252550	      0.000023534628	     -0.000000917676
      0.000024155447	      0.000002021578	      0.000024164382	      0.000001972763	      0.000024170699	     -0.000000698111
      0.000024791117	      0.000002256615	      0.000024800287	      0.000001723271	      0.000024806770	     -0.000000676364
      0.000025426786	      0.000002122608	      0.000025436192	      0.000001671768	      0.000025442841	     -0.000000654818
      0.000026062456	      0.000001640869	      0.000026072097	      0.000002103959	      0.000026078912	     -0.000000649375
      0.000026698126	      0.000001704860	      0.000026708001	      0.000002367895	      0.000026714983	     -0.000000649365
      0.000027333795	      0.000002116013	      0.000027343906	      0.000002551051	      0.000027351054	     -0.000000648896
      0.000027969465	      0.000002239903	      0.000027979811	      0.000002136750	      0.000027987125	     -0.000000648833
      0.000028605135	      0.000002253151	      0.000028615716	      0.000001891956	      0.000028623196	     -0.000000649252
      0.000029240804	      0.000002114116	      0.000029251621	      0.000001927060	      0.000029259267	     -0.000000650153
      0.000029876474	      0.000001937967	      0.000029887525	      0.000002390170	      0.000029895339	     -0.000000650880
      0.000030512144	      0.000002213296	      0.000030523430	      0.000002210198	      0.000030531410	     -0.000000649689
      0.000031147813	      0.000002308211	      0.000031159335	      0.000001905803	      0.000031167481	     -0.000000647777
      0.000031783483	      0.000002111463	      0.000031795240	      0.000002379288	      0.000031803552	     -0.000000647493
      0.000032419153	      0.000001870072	      0.000032431145	      0.000001834294	      0.000032439623	     -0.000000647174
      0.000033054822	      0.000001975321	      0.000033067049	      0.000002064160	      0.000033075694	     -0.000000646366
      0.000033690492	      0.000002282863	      0.000033702954	      0.000001878146	      0.000033711765	     -0.000000695210
      0.000034326162	      0.000002598042	      0.000034338859	      0.000002104021	      0.000034347836	     -0.000000654579
      0.000034961831	      0.000002204091	      0.000034974764	      0.000001957680	      0.000034983907	     -0.000000643193
      0.000035597501	      0.000001673141	      0.000035610669	      0.000002650516	      0.000035619978	     -0.000000809046
      0.000036233171	      0.000001451624	      0.000036246573	      0.000002186264	      0.000036256049	     -0.000000678343
      0.000036868840	      0.000001664806	      0.000036882478	      0.000001555285	      0.000036892120	     -0.000000643154
      0.000037504510	      0.000001777654	      0.000037518383	      0.000001639261	      0.000037528191	     -0.000000643620
      0.000038140180	      0.000002203743	      0.000038154288	      0.000001490574	      0.000038164262	     -0.000000644089
      0.000038775849	      0.000002328362	      0.000038790193	      0.000001934477	      0.000038800333	     -0.000000643798
      0.000039411519	      0.000002146264	      0.000039426097	      0.000001592632	      0.000039436404	     -0.000000643958
      0.000040047189	      0.000001734441	      0.000040062002	      0.000001651706	      0.000040072475	     -0.000000644446
      0.000040682858	      0.000001662286	      0.000040697907	      0.000001644018	      0.000040708546	     -0.000000644108
      0.000041318528	      0.000001829494	      0.000041333812	      0.000001930567	      0.000041344617	     -0.000000642979
      0.000041954198	      0.000002027002	      0.000041969717	      0.000000937294	      0.000041980688	     -0.000000642639
      0.000042589867	      0.000002340722	      0.000042605621	      0.000002910101	      0.000042616759	     -0.000000641984
      0.000043225537	      0.000002286447	      0.000043241526	      0.000002069728	      0.000043252830	     -0.000000641565
      0.000043861207	      0.000002029757	      0.000043877431	      0.000002213011	      0.000043888901	     -0.000000640358
      0.000044496876	      0.000001892473	      0.000044513336	      0.000001783072	      0.000044524972	     -0.000000639181
      0.000045132546	      0.000001619605	      0.000045149241	      0.000001440084	      0.000045161043	     -0.000000638031
      0.000045768216	      0.000001829917	      0.000045785145	      0.000001586161	      0.000045797114	     -0.000000637784
                    	                    	      0.000046421050	      0.000001402781	      0.000046433185	     -0.000000636504
