provider,providerName,offsetRatio,region,regionName,country_name,countryIsoCode,state,city,impact,source,comment  ,year,update_date
azure,Microsoft Azure,100,australiaeast,,Australia,AUS,New South Wales,Sydney,230,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,australiasoutheast,,Australia,AUS,Victoria,Melbourne,210,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,brazilsouth,,Brazil,BRA,,São Paulo,480,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,canadacentral,,Canada,CAN,Quebec,Montreal,70,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,canadaeast,,Canada,CAN,Ontario,Toronto,85,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,centralindia,,India,IND,Maharashtra,Pune,550,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,centralus,,USA,USA,Texas,San Antonio,400,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,eastasia,,China,CHN,,Hong Kong,400,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,eastus,,USA,USA,Virginia,Virginia,320,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,eastus2,,USA,USA,Virginia,Virginia,310,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,eastus3,,USA,USA,Virginia,Virginia,315,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,francecentral,,France,FRA,,Paris,140,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,germanynorth,,Germany,DEU,,Berlin,350,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,germanywestcentral,,Germany,DEU,,Frankfurt,350,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
azure,Microsoft Azure,100,japaneast,,Japan,JPN,,Tokyo,400,https://azure.microsoft.com/en-us/global-infrastructure/sustainability/,Estimación basada en datos públicos  ,2024,2025-05-09-00:00:00
