ppt,trial,arm_left,arm_right,reward_left,reward_right,response,feedback
1,1,2,4,1,1,0,1
1,2,2,4,1,1,1,1
1,3,2,1,0,0,0,0
1,4,2,1,0,0,1,0
1,5,1,4,0,0,0,0
1,6,4,3,1,1,0,1
1,7,3,1,1,0,0,1
1,8,3,2,0,0,1,0
1,9,1,4,0,0,0,0
1,10,2,3,0,0,0,0
1,11,2,3,0,1,1,1
1,12,2,4,1,1,1,1
1,13,2,1,0,0,1,0
1,14,1,4,1,0,1,0
1,15,1,3,0,1,1,1
1,16,2,4,0,0,1,0
1,17,3,1,0,0,0,0
1,18,1,2,0,0,0,0
1,19,1,3,0,1,1,1
1,20,1,3,0,1,1,1
1,21,3,2,1,1,0,1
1,22,1,3,0,0,1,0
1,23,1,3,0,0,1,0
1,24,3,4,0,1,1,1
1,25,1,4,0,1,1,1
1,26,1,3,0,0,0,0
1,27,3,2,0,0,0,0
1,28,3,4,1,1,1,1
1,29,2,1,1,0,1,0
1,30,3,1,0,0,1,0
1,31,1,2,0,0,1,0
1,32,4,1,0,0,0,0
1,33,1,2,1,0,0,1
1,34,3,1,0,0,0,0
1,35,3,1,0,0,1,0
1,36,4,2,1,1,0,1
1,37,3,4,1,1,0,1
1,38,4,2,1,0,0,1
1,39,3,1,1,1,0,1
1,40,4,1,1,0,1,0
1,41,3,4,1,1,1,1
1,42,2,3,0,0,1,0
1,43,3,2,1,1,0,1
1,44,2,3,0,1,1,1
1,45,4,2,1,0,0,1
1,46,1,3,0,1,1,1
1,47,4,1,1,0,1,0
1,48,4,2,1,1,0,1
1,49,4,2,1,0,0,1
1,50,4,3,1,1,0,1
1,51,4,3,1,0,0,1
1,52,4,1,1,0,0,1
1,53,3,1,1,0,1,0
1,54,2,1,0,0,0,0
1,55,1,4,1,1,1,1
1,56,1,2,1,0,1,0
1,57,4,2,0,1,0,0
1,58,2,4,0,1,1,1
1,59,3,4,1,1,1,1
1,60,2,1,0,0,0,0
1,61,3,2,1,0,0,1
1,62,1,3,0,0,1,0
1,63,4,2,1,0,0,1
1,64,3,2,1,1,0,1
1,65,2,3,0,1,1,1
1,66,2,1,0,0,1,0
1,67,4,3,1,1,0,1
1,68,4,1,1,0,0,1
1,69,4,3,1,1,0,1
1,70,1,2,0,1,1,1
1,71,3,4,0,1,1,1
1,72,3,2,1,0,1,0
1,73,1,4,0,1,1,1
1,74,2,1,1,0,1,0
1,75,2,3,1,0,1,0
1,76,2,3,0,1,1,1
1,77,4,3,1,1,0,1
1,78,3,2,1,1,0,1
1,79,3,4,0,1,1,1
1,80,1,2,1,1,0,1
1,81,3,1,1,1,0,1
1,82,2,3,1,0,1,0
1,83,2,4,0,1,1,1
1,84,4,3,1,1,0,1
1,85,4,2,0,1,0,0
1,86,4,1,0,0,0,0
1,87,1,2,1,1,0,1
1,88,4,1,1,0,0,1
1,89,4,3,1,0,0,1
1,90,4,1,1,0,0,1
1,91,1,4,1,1,1,1
1,92,1,2,0,1,1,1
1,93,2,4,1,1,1,1
1,94,1,4,1,0,1,0
1,95,3,4,0,1,1,1
1,96,2,4,0,0,0,0
2,1,2,4,0,1,1,1
2,2,2,4,0,1,0,0
2,3,3,2,1,1,0,1
2,4,3,2,1,1,1,1
2,5,3,1,0,0,1,0
2,6,3,1,0,0,0,0
2,7,3,1,1,0,0,1
2,8,3,4,0,0,0,0
2,9,4,3,1,0,0,1
2,10,1,4,0,1,1,1
2,11,3,1,1,0,1,0
2,12,2,4,0,1,1,1
2,13,4,3,1,0,0,1
2,14,1,4,1,1,1,1
2,15,1,2,0,1,0,0
2,16,4,3,0,1,0,0
2,17,4,2,1,0,1,0
2,18,1,2,0,1,0,0
2,19,3,1,1,1,0,1
2,20,4,3,1,0,1,0
2,21,2,3,0,1,1,1
2,22,4,3,1,0,1,0
2,23,3,4,1,1,1,1
2,24,3,4,1,0,1,0
2,25,1,3,1,1,1,1
2,26,1,4,1,1,1,1
2,27,4,1,1,0,0,1
2,28,3,4,1,1,1,1
2,29,4,2,1,1,0,1
2,30,3,1,1,1,0,1
2,31,2,1,0,0,1,0
2,32,3,1,1,0,0,1
2,33,3,2,1,0,0,1
2,34,3,4,0,0,1,0
2,35,1,2,0,1,1,1
2,36,1,4,0,1,1,1
2,37,1,3,0,0,1,0
2,38,2,3,0,1,1,1
2,39,2,1,1,0,1,0
2,40,4,2,1,1,0,1
2,41,2,3,1,1,1,1
2,42,4,2,1,0,0,1
2,43,2,1,0,0,1,0
2,44,2,4,0,1,1,1
2,45,3,4,1,0,1,0
2,46,1,3,1,1,1,1
2,47,4,1,1,1,0,1
2,48,3,2,0,1,0,0
2,49,1,4,0,1,1,1
2,50,3,4,0,0,1,0
2,51,2,4,1,0,1,0
2,52,1,3,0,0,1,0
2,53,1,2,0,1,0,0
2,54,2,1,0,0,0,0
2,55,4,2,1,1,0,1
2,56,4,1,1,0,0,1
2,57,2,1,0,0,0,0
2,58,4,2,1,1,0,1
2,59,4,3,1,0,0,1
2,60,2,4,0,1,1,1
2,61,2,4,0,1,1,1
2,62,1,4,0,1,1,1
2,63,2,3,0,1,1,1
2,64,3,2,0,1,0,0
2,65,2,1,1,0,1,0
2,66,1,2,0,0,1,0
2,67,4,2,1,0,0,1
2,68,2,4,1,0,1,0
2,69,2,3,0,1,0,0
2,70,3,2,0,1,0,0
2,71,1,3,0,1,1,1
2,72,2,3,0,1,1,1
2,73,4,1,1,0,1,0
2,74,2,1,0,0,1,0
2,75,1,4,0,1,1,1
2,76,4,1,1,1,0,1
2,77,4,3,0,1,0,0
2,78,2,3,1,1,0,1
2,79,2,1,0,0,0,0
2,80,4,2,1,0,0,1
2,81,4,3,1,0,0,1
2,82,3,2,0,1,1,1
2,83,2,3,0,1,0,0
2,84,1,2,0,0,1,0
2,85,3,1,1,0,0,1
2,86,1,4,0,1,1,1
2,87,3,4,0,0,1,0
2,88,4,1,1,1,0,1
2,89,4,1,1,0,0,1
2,90,1,3,0,0,1,0
2,91,1,3,0,0,0,0
2,92,1,3,0,1,1,1
2,93,4,1,1,1,0,1
2,94,1,2,0,0,1,0
2,95,1,2,0,0,0,0
2,96,3,2,1,0,0,1
3,1,4,2,1,0,0,1
3,2,4,2,1,0,1,0
3,3,3,1,1,0,1,0
3,4,3,1,1,0,1,0
3,5,3,4,1,0,1,0
